Production,Hour,Month,Day,TotalConsumption,ChargingPower,BatteryEnergy,GridBalance,FromGrid,FeedIn,SelfConsumption,Revenue
8.085135897499711,18,4,96,1.4008589708151464,0.0,7.68,6.684276926684564,-0.0,6.684276926684564,1.4008589708151464,0.9903697294149651
4.109442333907664,19,4,96,1.2928437920766158,0.0,7.68,2.816598541831048,-0.0,2.816598541831048,1.2928437920766158,0.6421361552070151
0.0,20,4,96,1.1996118860936804,-1.1876157672327436,6.4803881139063195,-0.011996118860936766,0.011996118860936766,0.0,1.1876157672327436,0.380037045514478
-0.0,21,4,96,1.0429205552023961,-1.0324913496503723,5.437467558703924,-0.010429205552023868,0.010429205552023868,0.0,1.0324913496503723,0.33039723188811915
0.0,22,4,96,0.9771827739360164,-0.9674109461966562,4.460284784767907,-0.00977182773936014,0.00977182773936014,0.0,0.9674109461966562,0.30957150278293
0.0,23,4,96,0.9371487603305793,-0.9277772727272735,3.5231360244373278,-0.00937148760330575,0.00937148760330575,0.0,0.9277772727272735,0.2968887272727275
0.0,0,4,97,0.8106097149603654,-0.8025036178107617,2.7125263094769623,-0.008106097149603642,0.008106097149603642,0.0,0.8025036178107617,0.2568011576994438
0.0,1,4,97,0.7798954292460891,-0.7720964749536282,1.9326308802308731,-0.007798954292460913,0.007798954292460913,0.0,0.7720964749536282,0.24707087198516103
0.0,2,4,97,0.7840450891100286,-0.7762046382189283,1.1485857911208446,-0.007840450891100303,0.007840450891100303,0.0,0.7762046382189283,0.24838548423005705
-0.0,3,4,97,0.7985008714229418,-0.7905158627087123,0.3500849196979028,-0.007985008714229469,0.007985008714229469,0.0,0.7905158627087123,0.252965076066788
-0.0,4,4,97,0.858977061899141,-0.34658407050092377,0.0,-0.5123929913982173,0.5123929913982173,0.0,0.34658407050092377,0.1109069025602956
-0.0,5,4,97,0.9942086420585973,-0.0,0.0,-0.9942086420585973,0.9942086420585973,0.0,0.0,0.0
0.0,6,4,97,1.0492121215508887,-0.0,0.0,-1.0492121215508887,1.0492121215508887,0.0,0.0,0.0
0.0,7,4,97,0.9678054827828342,-0.0,0.0,-0.9678054827828342,0.9678054827828342,0.0,0.0,0.0
1.1420316769480177,8,4,97,1.0060330560595745,0.13599862088844317,0.13463863467955872,0.0,-0.0,0.0,1.0060330560595745,0.3219305779390638
1.9340355558230087,9,4,97,1.0411190805469401,0.8929164752760685,1.0186259452028665,0.0,-0.0,0.0,1.0411190805469401,0.33315810577502086
4.994855475137643,10,4,97,1.0673051629327268,3.9275503122049162,4.906900754285734,0.0,-0.0,0.0,1.0673051629327268,0.3415376521384726
8.51915874684474,11,4,97,2.4984955168483944,2.801110349206329,7.68,3.2195528807900162,-0.0,3.2195528807900162,2.4984955168483944,1.0606243040235566
11.291805417902747,12,4,97,2.463482154816153,0.0,7.68,8.828323263086594,-0.0,8.828323263086594,2.463482154816153,1.5042913061774916
12.961094225416703,13,4,97,2.4935673946131924,0.0,7.68,10.46752683080351,-0.0,10.46752683080351,2.4935673946131924,1.6468579922543864
14.036958225893908,14,4,97,2.5247739711365336,0.0,7.68,11.512184254757376,-0.0,11.512184254757376,2.5247739711365336,1.741565813824514
13.926184996939588,15,4,97,1.0441307090590755,0.0,7.68,12.882054287880512,-0.0,12.882054287880512,1.0441307090590755,1.3788564296460137
12.63227952242488,16,4,97,1.1763248529949548,0.0,7.68,11.455954669429925,-0.0,11.455954669429925,1.1763248529949548,1.3055018766491526
10.37547007750689,17,4,97,1.361606430593627,0.0,7.68,9.013863646913263,-0.0,9.013863646913263,1.361606430593627,1.1667383995546263
7.095403690339188,18,4,97,1.3335035989143198,0.0,7.68,5.761900091424868,-0.0,5.761900091424868,1.3335035989143198,0.8940112490671392
2.7383909021569997,19,4,97,1.2254884201757892,0.0,7.68,1.5129024819812105,-0.0,1.5129024819812105,1.2254884201757892,0.5148526857449287
0.0,20,4,97,1.132256514192854,-1.1209339490509254,6.547743485807146,-0.011322565141928642,0.011322565141928642,0.0,1.1209339490509254,0.3586988636962961
0.0,21,4,97,0.9755651833015696,-0.9658095314685539,5.572178302505576,-0.009755651833015744,0.009755651833015744,0.0,0.9658095314685539,0.3090590500699372
