"Time","Tages-Durchschnittstemperatur"
1752537600000,21.571020679459945
1752624000000,17.8033726461758
1752710400000,20.555606290905164
1752796800000,22.80152918681341
1752883200000,23.55328624908033
1752969600000,22.460884503155903
1753056000000,19.960387929857273
1753142400000,19.953842293354086
1753228800000,20.671180563824766
1753315200000,19.998261784398277
1753401600000,22.20218910731813
1753488000000,23.079371559355753
1753574400000,19.560683908833358
1753660800000,18.573074362028784
1753747200000,17.138360531122476
1753833600000,19.623968094070527
1753920000000,18.243601663477946
1754006400000,19.366308686966285
1754092800000,16.898455859123544
1754179200000,18.657329978601766
1754265600000,21.304083530292953
1754352000000,19.701294096184053
1754438400000,19.749667592059065
1754524800000,22.0004977645161
1754611200000,23.731906330207583
1754697600000,24.064110909564178
1754784000000,22.417149466983343
1754870400000,22.723589888287545
1754956800000,24.629364667619978
1755043200000,28.409316400318446
1755129600000,28.139978571141018
1755216000000,26.204154154694276
1755302400000,19.98344271872417
1755388800000,20.383227490997868
1755475200000,21.6278039739902
1755561600000,23.59803108248312
1755648000000,22.80754947178956
1755734400000,21.106590676409713
1755820800000,16.555319313060448
1755907200000,16.225216398744713
1755993600000,17.527229588338475
1756080000000,18.24678809784627
1756166400000,21.980525020225052
1756252800000,22.849992246744527
1756339200000,19.740488378218593
1756425600000,19.389433202339973
1756512000000,18.69958403279571
1756598400000,19.245175845904445
1756684800000,18.303834526106957
1756771200000,19.463368704888673
1756857600000,20.006274264606077
1756944000000,19.73827978237785
1757030400000,17.78036889830796
1757116800000,18.004030773312984
1757203200000,20.326542572323365
1757289600000,17.911910899301592
1757376000000,14.856540807036861
1757462400000,15.67930816415468
1757548800000,16.70357894461993
1757635200000,15.919720506702973
1757721600000,15.435827575734532
1757808000000,17.092837964483913
1757894400000,18.810786282059052
1757980800000,15.35659885898804
1758067200000,15.19001309647644
1758153600000,20.065607515652065
1758240000000,21.494875914773754
1758326400000,21.442250177285967
1758412800000,16.643076853382116
1758499200000,13.300684963229124
1758585600000,14.513303271449542
1758672000000,11.76704037078763
1758758400000,9.322708710090264
1758844800000,13.142337231358857
1758931200000,13.836019740507831
1759017600000,12.995889358380778
1759104000000,14.074317501503533
1759190400000,13.151212177703632
1759276800000,12.326508648010321
1759363200000,11.243354542935368
1759449600000,9.614098792232989
1759536000000,11.51909567410125
1759622400000,11.020470505111788
1759708800000,10.771126026403708
1759795200000,13.155510489065026
1759881600000,13.1617085774221
1759968000000,12.840542484177902
1760054400000,13.672287562979928
1760140800000,13.213552078208828
1760227200000,13.423247370149497
1760313600000,13.664874282921152
1760400000000,13.603018633427064
1760486400000,12.957414793223146
1760572800000,12.004319941059928
1760659200000,11.741030211617325
1760745600000,10.099277278643529
1760832000000,8.868100753479238
1760918400000,12.350911586796313
1761004800000,12.542261952377228
1761091200000,12.556769148753242
1761177600000,11.80997775156695
1761264000000,8.867652751304007
1761350400000,8.209368824594247
1761436800000,6.239738160863928
1761523200000,7.63538308759242
1761609600000,9.281674591061504
1761696000000,11.374084286573456
1761782400000,10.950081739229026
1761868800000,8.78562614296967
1761955200000,10.793295823830714
1762041600000,10.39423294856136
1762128000000,9.605138133532966
1762214400000,12.098106434128503
1762300800000,10.58855079708507
1762387200000,9.373541850446767
1762473600000,6.479557214423578
1762560000000,7.8432678487964145
1762646400000,9.039991129289922
1762732800000,6.625830445536437
1762819200000,9.388182707230841
1762905600000,10.090674635638361
1762992000000,12.822142817440005
1763078400000,13.260336743779932
1763164800000,12.473514141161232
1763251200000,9.918853560776393
1763337600000,3.4691920988674094
1763424000000,3.163489287686992
1763510400000,2.939190839323236
1763596800000,1.9844455749606797
1763683200000,1.990280761796235
1763769600000,-0.5766381783672349
1763856000000,-1.393901733772697
1763942400000,3.746719318646077
1764028800000,4.240143895988076
1764115200000,2.948682937139197
1764201600000,2.855643675320342
1764288000000,5.356925616769417
1764374400000,6.670389630627342
1764460800000,6.048573064019314
1764547200000,3.972290503149525
1764633600000,3.405584341336873
1764720000000,4.593738806247711
1764806400000,3.1438980628321813
1764892800000,3.7519355030402006
1764979200000,5.935485016061237
1765065600000,9.095696939605457
1765152000000,11.854711011557447
1765238400000,10.664605566204395
1765324800000,10.122586879276094
1765411200000,7.366405797372035
1765497600000,6.665789915744523
1765584000000,6.008831039577926
1765670400000,5.151527922155385
1765756800000,5.091227189711998
1765843200000,5.230773957701165
1765929600000,4.580153446364385
1766016000000,7.802373750020699
1766102400000,9.337077960114652
1766188800000,6.513085864189796
1766275200000,7.2419108494452145
1766361600000,3.5793979722702085
1766448000000,3.12570964902962
1766534400000,-0.24062708126476504
1766620800000,-1.7026189315881768
1766707200000,-1.1379826815795417
1766793600000,-0.6198578531674784
1766880000000,0.5124331546956322
1766966400000,-1.9097874937043962
1767052800000,-0.10421150939761083
1767139200000,0.044464108551807976
